Mes,Victimas
Enero,3898
Febrero,5846
Marzo,6626
Abril,8032
Mayo,8301
Junio,8026
Julio,8857
Agosto,12034
Septiembre,7039
Octubre,7955
Noviembre,7394
Diciembre,8596
Enero,7787
Febrero,6831
Marzo,7816
Abril,9636
Mayo,10287
Junio,8999
Julio,8476
Agosto,8973
Septiembre,9236
Octubre,9600
Noviembre,9706
Diciembre,9418
Enero,11843
Febrero,11958
Marzo,17004
Abril,14702
Mayo,15159
Junio,14131
Julio,15046
Agosto,14344
Septiembre,15688
Octubre,14342
Noviembre,13176
Diciembre,14877
Enero,12579
Febrero,14028
Marzo,16289
Abril,15084
Mayo,15904
Junio,16114
Julio,15370
Agosto,16849
Septiembre,18286
